subdomain,ip,source
4fb7d71-clearos.prebuilt-app.bizflycloud.vn,103.109.43.241,hackertarget
6e81540-openvpn.prebuilt-app.bizflycloud.vn,14.225.27.249,hackertarget
cdn.wordpress.dev.bizflycloud.vn,123.30.215.55,rapiddns
0dedb8d-jitsi.prebuilt-app.bizflycloud.vn,103.56.157.244,rapiddns
7c7795f-cwp.prebuilt-app.bizflycloud.vn,103.153.73.113,alienvault
12d8bf4-clearos.prebuilt-app.bizflycloud.vn,103.107.183.239,hackertarget
c61e121-nextcloud.prebuilt-app.bizflycloud.vn,103.107.183.206,rapiddns
928efa2-bigbluebutton.prebuilt-app.bizflycloud.vn,103.56.157.44,alienvault
ns8.bizflycloud.vn,210.211.126.76,hackertarget
c2fb360-bigbluebutton.prebuilt-app.bizflycloud.vn,103.107.183.158,rapiddns
f993e5a-openvpn.prebuilt-app.bizflycloud.vn,103.109.43.10,rapiddns
3a72591-openvpn.prebuilt-app.bizflycloud.vn,103.56.156.213,alienvault
189ad20-gitlab.prebuilt-app.bizflycloud.vn,103.107.182.223,rapiddns
6062addb809920c5e4eadf33.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
f3206c2-openvpn.prebuilt-app.bizflycloud.vn,103.107.183.40,alienvault
cf8e60f-moodle.prebuilt-app.bizflycloud.vn,103.56.156.209,rapiddns
37ad3cc-magento.prebuilt-app.bizflycloud.vn,103.153.73.27,hackertarget
60af0237a96407591678cc75.wifimkt.bizflycloud.vn,103.148.57.196,crtsh
jitsi.prebuilt-app.bizflycloud.vn,14.225.36.116,crtsh
c8263a0-jitsi.prebuilt-app.bizflycloud.vn,103.107.183.29,rapiddns
e8a9978-nextcloud.prebuilt-app.bizflycloud.vn,45.124.94.165,alienvault
80ce55f-bigbluebutton.prebuilt-app.bizflycloud.vn,103.56.157.60,rapiddns
9589ed4-openvpn.prebuilt-app.bizflycloud.vn,103.153.73.78,hackertarget
2925c04-cwp.prebuilt-app.bizflycloud.vn,103.148.57.128,hackertarget
dcb371a-gitlab.prebuilt-app.bizflycloud.vn,103.107.182.128,rapiddns
606d1ed5ed47fe387404a8cc.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
607fe74bd0eb92f1d843c1b7.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
9b6ae21-openvpn.prebuilt-app.bizflycloud.vn,103.56.156.204,hackertarget
ss-hn-1.bizflycloud.vn,103.107.180.241,crtsh
ns1.bizflycloud.vn,42.112.37.59,hackertarget
0fa7691-redmine.prebuilt-app.bizflycloud.vn,103.56.157.101,alienvault
72b34d0-cwp.prebuilt-app.bizflycloud.vn,103.148.57.58,rapiddns
